Organization Name,Type,Full-Time Employees,Part-Time Employees,Volunteers,City,Region,Planned Projects,Executed Projects,Rating (out of 100),Supervising Ministry,Target Group,Main Activity Area,Founded Year,Accreditation Status,Number of Beneficiaries,Workshops Conducted,Training Sessions Conducted,Volunteer Hours Contributed,Staff Retention Rate (%),Digital Presence
Initiative Prosperity Group,Environmental,29,4,182,Riyadh,Eastern,11,12,68,"Ministry of Environment, Water and Agriculture",Job Seekers,Advocacy,2016,Unaccredited,1920,70,73,7974,65,No
Society Development Group,Development,28,26,45,Abha,Northern,6,10,61,Ministry of Human Resources and Social Development,Families,Capacity Building,2005,Unaccredited,361,71,53,9089,69,No
Society Development for Communities,Youth,21,7,78,Riyadh,Central,10,12,66,Ministry of Education,Job Seekers,Research,2022,Pending,3620,64,100,2547,78,Yes
Initiative Development Initiative,Educational,9,23,155,Riyadh,Southern,14,0,72,Ministry of Culture,Students,Training,2012,Unaccredited,8152,97,20,6023,82,Yes
Foundation Light Mission,Health,47,17,85,Najran,Central,15,20,84,Ministry of Culture,Refugees,Community Engagement,2021,Unaccredited,3452,51,94,4081,81,No
Society Prosperity Group,Environmental,49,12,226,Riyadh,Eastern,19,15,69,"Ministry of Environment, Water and Agriculture",Disabled,Advocacy,1993,Unaccredited,1409,55,84,2948,79,Yes
Foundation Growth Initiative,Health,8,27,39,Medina,Eastern,17,0,100,Ministry of Municipal and Rural Affairs,Patients,Research,2009,Accredited,6704,39,91,5307,94,No
Society Care for Change,Technology,9,11,131,Najran,Central,17,19,62,Ministry of Health,Students,Capacity Building,2015,Accredited,6801,25,95,7224,85,No
Initiative Progress Initiative,Social Services,30,7,163,Hail,Southern,3,9,80,Ministry of Culture,Disabled,Awareness,1990,Unaccredited,3557,23,35,5874,66,Yes
Society Innovation for Youth,Charitable,8,11,40,Makkah,Eastern,5,17,87,Ministry of Economy and Planning,Disabled,Awareness,2011,Unaccredited,9913,48,57,4790,86,No
Association Harmony Network,Development,3,19,32,Makkah,Eastern,14,1,83,Ministry of Health,Refugees,Relief,2001,Pending,9053,32,26,4110,93,Yes
Foundation Prosperity Network,Health,39,26,251,Dammam,Northern,14,19,63,Ministry of Education,Job Seekers,Relief,1993,Pending,2097,27,38,8069,61,Yes
Center Empowerment Mission,Cultural,50,11,117,Jeddah,Southern,1,1,85,Ministry of Municipal and Rural Affairs,Patients,Awareness,2008,Unaccredited,749,49,27,9351,94,No
Initiative Development Network,Environmental,22,11,32,Abha,Western,16,7,89,Ministry of Education,Disabled,Capacity Building,1993,Pending,1317,42,31,6533,70,Yes
Center Light Initiative,Technology,48,25,21,Dammam,Western,18,7,85,Ministry of Municipal and Rural Affairs,Job Seekers,Advocacy,1999,Pending,573,79,6,5517,69,Yes
Initiative Hope Mission,Technology,18,24,193,Tabuk,Western,15,13,93,Ministry of Economy and Planning,Elderly,Training,2017,Unaccredited,9538,73,51,7815,83,No
Association Progress for Change,Charitable,8,27,217,Medina,Central,6,0,71,"Ministry of Environment, Water and Agriculture",Disabled,Awareness,2020,Unaccredited,8125,30,12,7001,76,No
Association Empowerment for Communities,Technology,48,17,185,Medina,Central,11,11,87,Ministry of Human Resources and Social Development,Students,Community Engagement,2021,Accredited,5068,76,84,7080,64,No
Society Light for Communities,Technology,6,28,13,Jeddah,Western,15,3,98,"Ministry of Environment, Water and Agriculture",Patients,Training,1995,Unaccredited,5135,89,6,8326,84,Yes
Center Light Mission,Technology,28,21,190,Taif,Central,17,20,68,Ministry of Education,Families,Training,1997,Accredited,4184,74,24,6282,88,No
Society Light for Development,Cultural,46,20,23,Tabuk,Southern,4,10,85,Ministry of Education,Disabled,Awareness,2020,Accredited,7829,2,97,6664,96,No
Foundation Unity for Youth,Environmental,38,29,92,Makkah,Northern,15,13,66,Ministry of Culture,Refugees,Training,2021,Accredited,5386,80,36,5597,74,Yes
Initiative Light for Development,Development,38,16,237,Riyadh,Eastern,18,8,82,Ministry of Culture,Families,Capacity Building,1995,Accredited,261,5,33,1732,91,No
Center Innovation Network,Development,12,15,207,Jeddah,Southern,18,6,82,"Ministry of Environment, Water and Agriculture",Patients,Research,2006,Unaccredited,5719,23,82,1609,86,No
Association Care Group,Technology,44,13,123,Dammam,Northern,1,19,86,Ministry of Culture,Patients,Capacity Building,2022,Pending,8855,78,59,1123,67,No
Foundation Innovation for Youth,Cultural,33,8,39,Taif,Eastern,19,6,70,"Ministry of Environment, Water and Agriculture",Job Seekers,Capacity Building,2007,Accredited,5432,58,14,6541,72,Yes
Initiative Innovation Group,Development,39,19,92,Medina,Western,9,12,72,Ministry of Education,Families,Training,2016,Pending,6857,78,34,8224,76,No
Association Light for Development,Technology,23,26,234,Makkah,Northern,10,8,97,Ministry of Communications and Information Technology,Elderly,Advocacy,2003,Accredited,6547,39,78,6242,99,No
Center Growth for Communities,Cultural,18,17,289,Medina,Northern,5,11,73,"Ministry of Environment, Water and Agriculture",Disabled,Relief,2010,Accredited,5572,78,8,1700,89,Yes
Center Harmony Mission,Youth,21,12,126,Medina,Eastern,13,10,67,Ministry of Health,Refugees,Capacity Building,2005,Accredited,5342,75,62,5628,81,No
Initiative Empowerment Initiative,Educational,46,5,204,Taif,Southern,3,1,92,Ministry of Health,Families,Advocacy,2016,Accredited,8004,1,23,3425,63,No
Society Empowerment Initiative,Development,43,22,132,Najran,Eastern,17,2,65,Ministry of Communications and Information Technology,Students,Research,2016,Pending,1223,59,40,755,88,No
Initiative Light for Youth,Environmental,4,29,136,Dammam,Southern,11,5,61,Ministry of Health,Youth,Training,1996,Unaccredited,1871,15,69,2763,87,Yes
Center Empowerment Mission,Development,19,3,21,Najran,Northern,18,12,71,Ministry of Municipal and Rural Affairs,Job Seekers,Awareness,2018,Accredited,8650,8,64,4125,73,Yes
Foundation Compassion for Change,Educational,45,1,100,Taif,Eastern,10,18,61,"Ministry of Environment, Water and Agriculture",Elderly,Community Engagement,2007,Unaccredited,4708,62,68,817,86,No
Center Prosperity for Youth,Development,6,29,272,Najran,Central,19,15,99,"Ministry of Environment, Water and Agriculture",Disabled,Community Engagement,2001,Unaccredited,4208,9,47,7800,73,Yes
Foundation Prosperity Initiative,Environmental,43,28,96,Makkah,Northern,4,4,91,Ministry of Municipal and Rural Affairs,Orphans,Training,2004,Accredited,5379,81,7,7119,62,Yes
Foundation Growth for Youth,Environmental,9,3,250,Jeddah,Central,16,4,93,Ministry of Education,Elderly,Community Engagement,1993,Unaccredited,2610,62,21,146,71,No
Society Development Group,Environmental,22,24,198,Jeddah,Central,11,9,67,Ministry of Culture,Students,Training,2009,Unaccredited,2661,44,34,6884,80,No
Foundation Development Mission,Health,47,24,34,Abha,Eastern,8,19,100,Ministry of Culture,Patients,Research,1997,Pending,4923,55,79,9605,80,Yes
Association Harmony for Youth,Environmental,34,10,287,Najran,Northern,4,13,93,Ministry of Municipal and Rural Affairs,Orphans,Research,2021,Unaccredited,2875,67,57,6249,61,No
Association Empowerment Mission,Cultural,19,1,17,Hail,Northern,5,13,99,Ministry of Human Resources and Social Development,Students,Training,2019,Pending,6852,55,8,8324,69,Yes
Society Development for Change,Youth,39,28,139,Jeddah,Western,13,20,60,"Ministry of Environment, Water and Agriculture",Students,Capacity Building,2010,Accredited,5433,49,25,6201,80,Yes
Society Care Initiative,Charitable,14,27,59,Makkah,Western,16,20,80,Ministry of Human Resources and Social Development,Elderly,Research,2016,Accredited,5902,22,65,1532,65,Yes
Society Hope Mission,Cultural,5,11,137,Dammam,Central,5,11,96,Ministry of Municipal and Rural Affairs,Youth,Capacity Building,2009,Accredited,7832,95,44,7046,60,Yes
Association Compassion for Youth,Development,6,11,46,Najran,Southern,20,6,72,Ministry of Economy and Planning,Patients,Research,2022,Pending,377,86,2,9157,89,Yes
Association Progress for Youth,Charitable,20,16,72,Hail,Western,4,13,65,Ministry of Human Resources and Social Development,Elderly,Capacity Building,2020,Pending,5855,36,56,6716,72,No
Center Light Network,Cultural,45,9,133,Dammam,Western,19,11,63,Ministry of Health,Families,Capacity Building,1997,Unaccredited,1580,84,40,1454,71,No
Society Innovation for Development,Social Services,7,19,202,Makkah,Northern,9,12,79,Ministry of Education,Orphans,Relief,2007,Pending,5945,59,55,2829,86,Yes
Center Compassion for Change,Environmental,37,29,69,Najran,Northern,3,6,79,Ministry of Municipal and Rural Affairs,Youth,Community Engagement,2011,Unaccredited,2846,39,38,5756,85,Yes
Society Care Mission,Technology,41,14,85,Hail,Central,7,6,75,Ministry of Municipal and Rural Affairs,Disabled,Training,1998,Accredited,4317,18,42,8295,97,Yes
Initiative Innovation Mission,Health,3,15,73,Medina,Western,13,7,74,Ministry of Communications and Information Technology,Job Seekers,Relief,2019,Pending,8776,17,71,3264,70,No
Association Hope for Communities,Cultural,40,2,109,Riyadh,Eastern,6,11,91,Ministry of Economy and Planning,Students,Relief,2012,Accredited,3812,20,87,4223,67,Yes
Center Prosperity Network,Educational,14,28,130,Makkah,Eastern,3,9,74,Ministry of Municipal and Rural Affairs,Families,Advocacy,1999,Accredited,3869,65,39,2239,99,Yes
Foundation Empowerment Mission,Youth,35,13,28,Riyadh,Northern,4,1,86,Ministry of Health,Elderly,Advocacy,1992,Accredited,2463,32,40,3043,99,No
Society Development for Communities,Educational,9,15,157,Tabuk,Eastern,10,10,65,Ministry of Communications and Information Technology,Patients,Community Engagement,2020,Unaccredited,4834,60,99,9557,90,Yes
Society Light Network,Technology,18,17,11,Makkah,Western,12,12,84,Ministry of Education,Orphans,Advocacy,2012,Unaccredited,851,22,15,1457,63,Yes
Center Empowerment Initiative,Youth,37,6,88,Dammam,Southern,18,14,86,Ministry of Economy and Planning,Youth,Capacity Building,2009,Pending,5724,4,43,4836,81,Yes
Center Innovation for Communities,Health,23,5,56,Tabuk,Northern,16,16,68,Ministry of Municipal and Rural Affairs,Families,Research,1998,Pending,3130,98,71,3403,93,No
Center Innovation Network,Charitable,50,20,99,Riyadh,Central,8,0,75,"Ministry of Environment, Water and Agriculture",Families,Awareness,2015,Unaccredited,8952,83,20,6966,82,Yes
Center Light for Youth,Charitable,34,3,168,Tabuk,Southern,2,9,65,Ministry of Municipal and Rural Affairs,Elderly,Awareness,2014,Pending,8666,44,70,5554,71,Yes
Foundation Progress Group,Health,27,4,181,Jeddah,Southern,12,11,80,Ministry of Economy and Planning,Families,Research,2001,Accredited,9447,23,37,9670,94,No
Foundation Unity Group,Technology,41,22,148,Medina,Central,7,13,66,Ministry of Human Resources and Social Development,Patients,Community Engagement,1997,Unaccredited,1499,29,96,1148,77,Yes
Association Hope Mission,Development,40,25,25,Abha,Central,15,1,75,Ministry of Municipal and Rural Affairs,Refugees,Awareness,2019,Accredited,5582,34,84,5275,60,No
Society Progress Network,Technology,22,12,95,Jeddah,Eastern,12,13,93,Ministry of Human Resources and Social Development,Patients,Advocacy,2020,Pending,5103,71,1,7440,82,Yes
Association Harmony Group,Technology,14,16,216,Jeddah,Southern,6,0,79,Ministry of Municipal and Rural Affairs,Students,Capacity Building,2011,Unaccredited,7459,91,31,3975,61,Yes
Center Growth for Development,Educational,21,28,29,Taif,Southern,14,16,76,Ministry of Economy and Planning,Patients,Research,2011,Pending,5116,76,21,1535,84,No
Initiative Hope for Change,Educational,3,4,125,Taif,Eastern,8,13,97,"Ministry of Environment, Water and Agriculture",Patients,Relief,2002,Pending,3768,77,66,2862,78,No
Association Care for Development,Cultural,11,19,190,Hail,Eastern,12,10,67,Ministry of Economy and Planning,Youth,Capacity Building,1997,Unaccredited,4320,74,49,6695,65,No
Center Development Mission,Educational,14,23,137,Hail,Southern,18,12,71,Ministry of Human Resources and Social Development,Elderly,Capacity Building,2017,Pending,1328,41,88,7780,92,No
Foundation Light Group,Development,21,17,129,Taif,Northern,6,7,100,Ministry of Culture,Youth,Relief,1995,Accredited,6199,11,87,6529,80,No
Center Hope for Development,Cultural,34,26,100,Tabuk,Southern,3,5,80,Ministry of Education,Job Seekers,Relief,2010,Accredited,9104,6,65,859,67,Yes
Initiative Harmony for Change,Youth,23,19,137,Abha,Eastern,13,0,60,Ministry of Municipal and Rural Affairs,Students,Research,2007,Accredited,9361,42,97,9601,99,No
Foundation Development for Development,Charitable,47,9,98,Taif,Central,15,16,96,Ministry of Culture,Job Seekers,Advocacy,2013,Accredited,2649,8,99,7825,71,No
Center Empowerment for Communities,Charitable,24,3,178,Najran,Eastern,3,13,70,Ministry of Municipal and Rural Affairs,Disabled,Training,1992,Pending,9004,79,40,1954,90,No
Association Growth for Change,Technology,30,24,115,Najran,Southern,6,5,72,"Ministry of Environment, Water and Agriculture",Elderly,Relief,2016,Accredited,8466,83,25,1443,98,Yes
Foundation Growth Group,Charitable,49,1,82,Riyadh,Southern,16,7,95,Ministry of Communications and Information Technology,Students,Training,1991,Accredited,6644,88,25,1247,71,No
Association Compassion for Youth,Social Services,24,6,295,Riyadh,Western,17,7,86,Ministry of Municipal and Rural Affairs,Patients,Community Engagement,2019,Unaccredited,4677,20,68,7267,90,Yes
Center Compassion Mission,Social Services,28,20,55,Tabuk,Eastern,3,8,77,Ministry of Culture,Youth,Relief,2016,Pending,3367,40,90,7670,65,Yes
Initiative Growth Mission,Social Services,46,11,104,Dammam,Southern,18,4,69,Ministry of Culture,Job Seekers,Capacity Building,2021,Pending,6769,62,77,2089,92,Yes
Center Innovation Group,Educational,21,30,264,Hail,Southern,15,12,62,Ministry of Economy and Planning,Elderly,Advocacy,2004,Accredited,990,8,11,3617,78,No
Initiative Innovation Initiative,Health,44,5,129,Jeddah,Western,13,12,82,Ministry of Health,Job Seekers,Community Engagement,2006,Unaccredited,391,91,60,3713,68,Yes
Foundation Development for Development,Youth,34,19,37,Najran,Southern,16,20,70,Ministry of Culture,Disabled,Awareness,1996,Pending,2974,6,62,5734,93,No
Society Hope for Communities,Health,34,2,92,Jeddah,Eastern,6,1,88,Ministry of Municipal and Rural Affairs,Disabled,Research,2008,Pending,1658,67,72,1220,69,Yes
Center Hope Mission,Development,10,4,127,Dammam,Eastern,2,10,65,Ministry of Municipal and Rural Affairs,Elderly,Community Engagement,2006,Unaccredited,2014,68,28,4731,69,No
Association Harmony Network,Technology,41,15,52,Riyadh,Western,11,0,63,Ministry of Economy and Planning,Disabled,Advocacy,2020,Pending,1553,54,99,3013,60,Yes
Center Innovation Group,Charitable,5,4,63,Najran,Southern,12,17,89,"Ministry of Environment, Water and Agriculture",Orphans,Training,1993,Accredited,8328,2,78,4884,67,No
Association Innovation for Development,Technology,12,22,103,Jeddah,Central,19,3,97,"Ministry of Environment, Water and Agriculture",Students,Relief,1992,Unaccredited,4476,29,68,3169,68,Yes
Initiative Hope for Communities,Educational,26,15,47,Jeddah,Western,12,9,69,Ministry of Human Resources and Social Development,Refugees,Advocacy,2000,Pending,2996,43,68,1693,94,No
Foundation Harmony for Youth,Charitable,46,5,61,Abha,Western,16,9,97,Ministry of Health,Refugees,Relief,2004,Accredited,4691,96,64,6688,83,No
Association Progress Network,Technology,37,13,278,Abha,Central,9,3,85,Ministry of Health,Disabled,Awareness,2010,Unaccredited,4034,77,30,8131,71,Yes
Center Empowerment Mission,Development,49,27,80,Tabuk,Eastern,15,13,95,Ministry of Culture,Patients,Awareness,2008,Pending,5602,15,69,6253,86,No
Society Empowerment for Youth,Health,16,1,128,Jeddah,Eastern,17,10,93,Ministry of Education,Job Seekers,Awareness,1990,Unaccredited,3567,21,80,7007,84,Yes
Center Compassion for Development,Social Services,45,18,14,Dammam,Western,10,3,66,Ministry of Human Resources and Social Development,Orphans,Relief,2003,Unaccredited,3856,11,56,6931,73,Yes
Foundation Empowerment Mission,Environmental,17,18,149,Najran,Southern,15,12,62,Ministry of Human Resources and Social Development,Orphans,Advocacy,2016,Accredited,7658,25,83,9780,89,Yes
Society Prosperity for Youth,Environmental,7,3,73,Dammam,Eastern,6,14,66,Ministry of Health,Disabled,Training,1992,Unaccredited,7972,56,96,2358,91,No
Center Care Group,Development,19,28,294,Taif,Eastern,3,19,72,Ministry of Health,Refugees,Community Engagement,2010,Unaccredited,569,12,10,4760,94,No
Center Prosperity for Change,Charitable,21,6,123,Najran,Western,11,12,70,Ministry of Economy and Planning,Elderly,Relief,2016,Pending,455,49,75,7088,89,Yes
Society Light for Development,Cultural,25,26,186,Abha,Southern,17,11,70,Ministry of Culture,Refugees,Relief,1994,Accredited,3258,35,93,2107,65,No
Foundation Hope for Youth,Health,25,19,71,Tabuk,Central,4,4,97,Ministry of Municipal and Rural Affairs,Disabled,Training,2003,Accredited,7184,84,37,3925,67,Yes
Initiative Empowerment for Development,Youth,41,21,44,Tabuk,Western,18,14,95,Ministry of Health,Elderly,Community Engagement,2003,Accredited,1755,2,21,8851,66,No
Initiative Hope for Communities,Social Services,19,26,97,Hail,Central,20,7,91,Ministry of Health,Refugees,Relief,1992,Unaccredited,7156,19,15,270,67,Yes
Society Innovation for Change,Social Services,39,21,72,Jeddah,Southern,20,20,76,Ministry of Municipal and Rural Affairs,Students,Research,2007,Pending,6699,99,27,9684,62,Yes
Society Growth for Communities,Environmental,11,8,94,Makkah,Central,5,13,70,Ministry of Human Resources and Social Development,Refugees,Advocacy,1997,Accredited,2581,57,42,2325,64,Yes
Center Compassion Initiative,Youth,7,10,268,Dammam,Central,14,12,79,Ministry of Economy and Planning,Elderly,Training,2014,Unaccredited,8613,1,99,7798,97,No
Initiative Harmony Group,Youth,13,30,217,Medina,Western,4,10,71,Ministry of Education,Students,Research,2007,Pending,3800,27,29,3450,73,Yes
Initiative Unity for Youth,Charitable,48,14,293,Riyadh,Central,1,4,86,Ministry of Communications and Information Technology,Youth,Community Engagement,1997,Unaccredited,663,18,92,3839,79,No
Foundation Unity for Development,Cultural,29,25,220,Tabuk,Central,14,2,91,Ministry of Human Resources and Social Development,Patients,Research,2010,Accredited,8354,66,43,7613,99,No
Society Development for Development,Educational,30,30,193,Abha,Western,2,13,60,Ministry of Economy and Planning,Refugees,Training,2000,Pending,5943,11,88,6343,83,No
Foundation Development Mission,Social Services,28,18,153,Tabuk,Central,10,19,82,Ministry of Education,Orphans,Capacity Building,2017,Pending,242,58,44,8866,84,Yes
Association Growth Group,Development,16,17,191,Najran,Western,19,9,84,Ministry of Communications and Information Technology,Job Seekers,Research,1997,Pending,3219,60,86,9724,75,No
Society Harmony for Youth,Health,18,25,166,Medina,Southern,7,1,90,"Ministry of Environment, Water and Agriculture",Families,Community Engagement,2017,Unaccredited,5191,9,9,617,87,No
Association Compassion for Change,Social Services,6,10,129,Taif,Central,9,1,77,Ministry of Municipal and Rural Affairs,Job Seekers,Capacity Building,2014,Unaccredited,2396,22,87,7498,68,Yes
Association Compassion for Change,Technology,13,28,79,Riyadh,Eastern,7,7,76,Ministry of Communications and Information Technology,Patients,Capacity Building,1993,Unaccredited,7237,78,62,3691,71,No
Society Care for Change,Cultural,43,23,93,Makkah,Southern,15,3,82,"Ministry of Environment, Water and Agriculture",Job Seekers,Advocacy,2010,Accredited,9922,23,76,6767,68,Yes
Society Growth Network,Cultural,14,8,73,Riyadh,Eastern,2,14,94,Ministry of Health,Disabled,Capacity Building,2008,Pending,6793,100,31,6142,93,Yes
Society Progress for Change,Health,21,10,275,Najran,Eastern,18,20,61,Ministry of Health,Youth,Relief,2012,Accredited,4693,39,22,7526,98,No
Center Empowerment Network,Health,11,8,144,Tabuk,Western,11,15,69,Ministry of Culture,Patients,Awareness,1996,Unaccredited,3459,19,89,6814,71,Yes
Society Empowerment Group,Development,10,16,140,Hail,Central,11,1,63,Ministry of Municipal and Rural Affairs,Refugees,Advocacy,2003,Pending,3715,91,84,1529,93,No
Foundation Development Group,Environmental,39,28,264,Taif,Western,17,17,63,Ministry of Municipal and Rural Affairs,Orphans,Capacity Building,2007,Unaccredited,1345,64,11,8756,84,No
Society Compassion for Development,Charitable,41,23,101,Makkah,Northern,20,11,88,Ministry of Municipal and Rural Affairs,Orphans,Capacity Building,1999,Accredited,5719,37,17,4228,70,Yes
Association Care Mission,Cultural,44,14,47,Najran,Western,10,10,69,"Ministry of Environment, Water and Agriculture",Elderly,Research,2010,Unaccredited,9919,68,90,591,63,No
Association Empowerment for Development,Health,24,12,266,Taif,Northern,11,11,69,Ministry of Municipal and Rural Affairs,Families,Research,2015,Unaccredited,7492,14,29,613,80,No
Foundation Empowerment for Development,Health,5,9,189,Dammam,Northern,12,5,82,Ministry of Communications and Information Technology,Orphans,Awareness,1997,Unaccredited,1302,30,51,2444,62,No
Initiative Unity Network,Charitable,49,2,45,Abha,Southern,18,2,95,Ministry of Education,Students,Relief,1994,Accredited,432,31,63,9954,90,Yes
Association Growth Network,Educational,35,3,196,Najran,Eastern,2,18,88,Ministry of Education,Youth,Advocacy,1993,Pending,925,5,40,632,74,No
Center Light for Change,Environmental,30,17,180,Hail,Northern,1,1,74,Ministry of Education,Families,Training,1996,Pending,1303,99,39,3318,81,Yes
Initiative Progress for Communities,Development,2,7,244,Hail,Northern,10,12,94,Ministry of Municipal and Rural Affairs,Elderly,Community Engagement,2011,Pending,2991,15,54,2381,86,Yes
Society Innovation Group,Social Services,28,9,192,Riyadh,Western,11,2,61,Ministry of Culture,Orphans,Relief,2001,Accredited,4108,30,12,8291,93,No
Society Hope for Youth,Social Services,3,20,96,Medina,Southern,2,18,80,Ministry of Human Resources and Social Development,Disabled,Community Engagement,2012,Unaccredited,9946,82,51,3872,82,No
Foundation Hope for Youth,Youth,20,24,98,Tabuk,Eastern,3,2,82,Ministry of Communications and Information Technology,Students,Research,2022,Pending,6922,47,58,4964,79,No
Center Harmony for Change,Cultural,13,21,138,Medina,Southern,20,16,68,Ministry of Health,Orphans,Research,2007,Accredited,4615,25,84,4596,67,Yes
Initiative Hope Mission,Environmental,28,15,283,Jeddah,Western,7,9,94,"Ministry of Environment, Water and Agriculture",Job Seekers,Research,1994,Accredited,7155,98,41,446,86,Yes
Society Care for Change,Technology,44,10,18,Jeddah,Western,2,13,67,Ministry of Communications and Information Technology,Job Seekers,Training,2014,Pending,7932,49,75,7116,86,Yes
Foundation Light for Youth,Social Services,46,17,141,Abha,Central,9,11,69,Ministry of Culture,Orphans,Advocacy,2003,Accredited,5949,28,83,752,69,No
Foundation Compassion for Youth,Social Services,10,4,217,Makkah,Central,3,3,92,Ministry of Culture,Youth,Capacity Building,1999,Unaccredited,4319,67,54,1940,99,Yes
Society Prosperity Group,Educational,41,2,292,Makkah,Southern,5,19,83,"Ministry of Environment, Water and Agriculture",Youth,Awareness,2018,Unaccredited,7977,31,13,6350,83,Yes
Association Compassion Group,Development,36,2,262,Dammam,Western,3,0,64,Ministry of Human Resources and Social Development,Elderly,Community Engagement,2004,Accredited,2459,40,61,8760,74,No
Foundation Compassion Mission,Development,39,12,72,Jeddah,Eastern,6,9,75,Ministry of Municipal and Rural Affairs,Families,Advocacy,1999,Unaccredited,1496,95,65,6102,84,No
Association Progress Initiative,Charitable,40,3,21,Hail,Western,10,4,91,Ministry of Municipal and Rural Affairs,Patients,Awareness,1998,Pending,6044,16,81,9740,63,No
Association Unity Initiative,Health,38,28,42,Jeddah,Southern,5,19,79,Ministry of Municipal and Rural Affairs,Youth,Advocacy,2012,Unaccredited,8138,32,50,9484,78,No
Initiative Care for Communities,Environmental,8,16,16,Makkah,Northern,5,5,83,Ministry of Education,Students,Training,2010,Accredited,8258,25,6,1031,77,No
Association Development Network,Cultural,6,9,60,Abha,Southern,15,19,62,Ministry of Economy and Planning,Orphans,Research,2005,Unaccredited,6851,80,44,2009,93,No
Foundation Care Group,Educational,41,29,267,Najran,Eastern,20,4,86,"Ministry of Environment, Water and Agriculture",Disabled,Capacity Building,1999,Unaccredited,4318,97,77,5516,98,No
Center Development for Development,Educational,14,21,50,Abha,Southern,7,14,74,Ministry of Human Resources and Social Development,Youth,Awareness,1999,Unaccredited,2169,13,18,2220,75,No
Initiative Unity Initiative,Charitable,37,6,110,Makkah,Northern,15,13,79,Ministry of Culture,Families,Training,2003,Pending,4769,48,8,2521,73,No
Initiative Innovation for Change,Technology,11,6,244,Tabuk,Southern,18,15,73,Ministry of Culture,Elderly,Research,2004,Unaccredited,2351,52,48,805,66,Yes
Foundation Development for Communities,Youth,13,10,88,Hail,Central,1,13,94,Ministry of Communications and Information Technology,Patients,Capacity Building,2016,Accredited,784,13,91,1041,83,No
Initiative Hope Initiative,Development,6,2,123,Medina,Southern,15,9,79,Ministry of Communications and Information Technology,Refugees,Research,2014,Unaccredited,2980,11,23,3666,68,Yes
Society Light Initiative,Youth,25,9,48,Taif,Central,11,14,69,Ministry of Health,Patients,Capacity Building,2015,Unaccredited,7723,66,31,971,72,No
Initiative Prosperity Network,Youth,9,25,156,Najran,Northern,19,10,98,Ministry of Municipal and Rural Affairs,Job Seekers,Research,2018,Pending,4732,52,46,2452,100,Yes
Foundation Care for Youth,Charitable,19,14,285,Hail,Central,10,6,81,Ministry of Health,Job Seekers,Research,2019,Accredited,6692,4,21,8028,83,No
Center Prosperity for Development,Educational,20,21,179,Taif,Eastern,19,4,63,Ministry of Communications and Information Technology,Disabled,Capacity Building,1995,Accredited,7166,48,30,9637,70,Yes
Foundation Prosperity for Communities,Social Services,16,10,272,Dammam,Northern,10,1,74,"Ministry of Environment, Water and Agriculture",Patients,Awareness,2009,Pending,8886,52,39,5780,61,Yes
Center Care Initiative,Social Services,44,29,275,Jeddah,Northern,16,6,89,Ministry of Human Resources and Social Development,Elderly,Training,2015,Pending,5075,55,31,2022,68,No
Center Empowerment Group,Youth,30,21,176,Medina,Eastern,15,15,76,Ministry of Human Resources and Social Development,Elderly,Research,2021,Accredited,5663,50,67,8917,71,No
Society Prosperity Network,Environmental,17,16,252,Abha,Central,9,7,62,Ministry of Health,Patients,Training,2012,Accredited,7489,57,28,4405,63,Yes
Center Empowerment Initiative,Social Services,33,30,54,Tabuk,Northern,8,0,95,Ministry of Education,Students,Advocacy,2001,Accredited,4739,16,46,2190,86,Yes
Society Development Group,Cultural,19,9,25,Taif,Central,2,6,76,"Ministry of Environment, Water and Agriculture",Students,Training,1997,Accredited,8751,76,52,517,61,Yes
Initiative Unity for Change,Technology,47,23,95,Jeddah,Southern,10,18,62,Ministry of Municipal and Rural Affairs,Patients,Awareness,2022,Accredited,3898,46,15,8753,100,Yes
Association Compassion Mission,Cultural,41,23,75,Riyadh,Western,18,12,72,Ministry of Health,Youth,Research,2004,Pending,4669,95,81,3551,81,Yes
Foundation Progress Network,Technology,26,12,82,Abha,Northern,10,15,92,Ministry of Health,Refugees,Relief,2003,Unaccredited,7338,11,82,2600,100,Yes
Society Harmony for Communities,Cultural,8,23,257,Makkah,Central,8,19,97,Ministry of Economy and Planning,Families,Research,2005,Accredited,3629,41,64,1724,90,Yes
Association Care Group,Educational,16,6,19,Hail,Southern,1,18,84,Ministry of Human Resources and Social Development,Families,Relief,1994,Pending,1881,60,25,8425,78,Yes
Society Compassion Mission,Educational,42,25,214,Abha,Western,9,10,72,Ministry of Culture,Job Seekers,Research,2011,Accredited,7540,77,74,853,78,Yes
Association Prosperity for Change,Environmental,4,3,46,Dammam,Eastern,13,16,62,Ministry of Culture,Patients,Awareness,1993,Pending,1569,82,60,1287,96,No
Foundation Hope for Youth,Environmental,8,2,86,Riyadh,Eastern,20,9,88,Ministry of Economy and Planning,Disabled,Relief,2002,Unaccredited,609,31,80,2089,83,Yes
Association Care Network,Development,39,17,128,Jeddah,Central,12,7,64,Ministry of Culture,Youth,Research,2015,Unaccredited,6615,87,14,7421,67,Yes
Center Unity Group,Charitable,40,7,216,Najran,Northern,9,3,80,Ministry of Human Resources and Social Development,Students,Research,2002,Pending,2278,61,50,1202,69,No
Initiative Prosperity Initiative,Educational,15,16,238,Medina,Northern,9,6,64,Ministry of Communications and Information Technology,Patients,Training,2009,Unaccredited,6778,45,88,8509,67,Yes
